mean,scale,id,sd,moransI,fractal
-0.5,25,828,0.000595769569110442,0.225589870122481,2.51253576042594
0,25,829,0.000328825444520379,0.147835306663935,2.52816387272043
0.5,25,830,0.000504676046421758,0.192243886416139,2.50080144770951
1,25,831,0.000246144410028265,0.257842788075956,2.47429286417097
1.5,25,832,0.000130644585436809,0.244686197267603,2.52414468033149
-2,50,833,0.00186972911955747,0.102169216746997,2.60067524746618
-1.5,50,834,0.00338255958810514,0.0441061249779352,2.54327821448471
-1,50,835,0.00274275452865583,0.0788534048678873,2.46786621895286
-0.5,50,836,0.00103234317488911,0.164510138461625,2.51622689463055
0,50,837,0.000357827546823196,0.298784829348535,2.51142332923693
0.5,50,838,0.000164870466196704,0.304251985617861,2.50730348296415
1,50,839,0.000332582652481738,0.174164577627271,2.50355276461539
1.5,50,840,9.94526747792363e-05,0.203034057353177,2.53068285032466
